taskId;performed;employeeName;startTime;
1;0;;;
2;1;Daniel;491;
3;0;;;
4;0;;;
5;1;Ana;987;
6;0;;;
7;1;Ana;645;
8;0;;;
9;1;Maria;528;
10;0;;;
11;0;;;
12;0;;;
13;1;Carolina;588;
14;0;;;
15;1;Maria;1024;
16;1;Javier;874;
17;1;Carolina;957;
18;1;Maria;977;
19;0;;;
20;1;Javier;545;
21;1;Maria;685;
22;1;Daniel;928;
23;0;;;
24;1;Daniel;856;
25;0;;;
26;0;;;
27;1;Maria;610;
28;0;;;
29;1;Daniel;997;
30;0;;;
31;0;;;
32;0;;;
33;0;;;
34;1;Carolina;638;
35;1;Maria;857;
36;0;;;
37;1;Daniel;706;
38;0;;;
39;0;;;
40;0;;;
41;0;;;
42;1;Diego;590;
43;0;;;
44;0;;;
45;1;Juan;640;
46;1;Paola;706;
47;0;;;
48;0;;;
49;0;;;
50;0;;;
51;1;Paola;583;
52;0;;;
53;0;;;
54;1;Juan;591;
55;1;Paola;636;
56;0;;;
57;0;;;
58;1;Nicolas;925;
59;0;;;
60;0;;;
61;0;;;
62;0;;;
63;0;;;
64;1;Paola;868;
65;1;Nicolas;604;
66;1;Diego;703;
67;1;Paola;951;
68;1;Nicolas;679;
69;1;Nicolas;720;
70;0;;;
71;1;Paola;1010;
72;1;Diego;855;
73;0;;;
74;1;Nicolas;849;
75;1;Juan;914;
76;0;;;
77;1;Laura;964;
78;1;Ana;876;
79;1;Ana;925;
80;1;Laura;640;
81;0;;;
82;1;Diego;979;
83;0;;;
84;0;;;
85;0;;;
86;0;;;
87;1;Nicolas;1003;
88;0;;;
89;0;;;
90;0;;;
91;0;;;
92;1;Carolina;887;
93;1;Carolina;513;
94;0;;;
95;0;;;
96;1;Carolina;693;
97;1;Javier;706;
98;0;;;
99;0;;;
100;0;;;
101;1;Ana;548;
102;0;;;
103;0;;;
104;0;;;
105;0;;;
106;0;;;
107;0;;;
108;1;Laura;872;
