taskId;performed;employeeName;startTime;
1;1;Silviu;959;
2;1;Petrica;563;
3;0;;;
4;0;;;
5;1;Elisabeta;711;
6;0;;;
7;1;Silviu;1024;
8;0;;;
9;1;Mitica;639;
10;1;Ovidiu;685;
11;0;;;
12;1;Silviu;507;
13;0;;;
14;1;Viorel;895;
15;0;;;
16;0;;;
17;1;Miruna;875;
18;0;;;
19;0;;;
20;1;Viorel;698;
21;1;Petrica;627;
22;0;;;
23;0;;;
24;0;;;
25;0;;;
26;1;Ionut;688;
27;1;Petrica;863;
28;0;;;
29;1;Mitica;710;
30;1;Cosmin;714;
31;0;;;
32;1;Silviu;705;
33;0;;;
34;1;Petrica;712;
35;1;Silviu;577;
36;1;Cosmin;657;
37;1;Miruna;701;
38;1;Mitica;933;
39;0;;;
40;0;;;
41;1;Florin;673;
42;0;;;
43;1;Florin;618;
44;1;Viorel;957;
45;0;;;
46;1;Ovidiu;854;
47;1;Petrica;932;
48;1;Ovidiu;609;
49;1;Florin;938;
50;0;;;
51;1;Silviu;859;
52;1;Florin;555;
53;1;Mitica;549;
54;1;Viorel;616;
55;1;Costel;527;
56;1;Viorel;568;
57;0;;;
58;1;Miruna;593;
59;1;Elisabeta;617;
60;0;;;
61;1;Mitica;866;
62;0;;;
63;1;Anca;922;
64;0;;;
65;1;Cosmin;866;
66;0;;;
67;0;;;
68;1;Florin;499;
69;0;;;
70;0;;;
71;1;Cornel;515;
72;0;;;
73;0;;;
74;1;Ionut;882;
75;0;;;
76;0;;;
77;0;;;
78;1;Camelia;868;
79;1;Camelia;600;
80;1;Costel;591;
81;1;Miruna;527;
82;1;Viorica;901;
83;1;Vali;705;
84;1;Camelia;928;
85;0;;;
86;1;Ovidiu;922;
87;1;Nicoleta;877;
88;0;;;
89;0;;;
90;1;Ovidiu;539;
91;0;;;
92;1;Florin;870;
93;0;;;
94;1;Viorica;591;
95;0;;;
96;0;;;
97;0;;;
98;1;Radu;1014;
99;1;Vali;858;
100;1;Alin;623;
101;0;;;
102;0;;;
103;1;Mihai;603;
104;1;Luminita;647;
105;1;Florin;1014;
106;0;;;
107;1;Danut;653;
108;1;Luminita;530;
109;1;Danut;595;
110;1;Nicoleta;693;
111;1;Cosmin;517;
112;1;Ionut;580;
113;1;Camelia;978;
114;0;;;
115;0;;;
116;1;Sanda;1008;
117;0;;;
118;1;Cosmin;944;
119;1;Mihai;661;
120;1;Camelia;699;
121;1;Cosmin;999;
122;1;Ruxandra;513;
123;1;Costel;1013;
124;1;Ionut;1008;
125;0;;;
126;1;Cosmin;563;
127;1;Alin;858;
128;1;Cornel;964;
129;1;Anca;994;
130;0;;;
131;1;Miruna;1015;
132;1;Luminita;726;
133;1;Elisabeta;928;
134;1;Viorica;996;
135;0;;;
136;0;;;
137;1;Luminita;585;
138;0;;;
139;1;Danut;849;
140;0;;;
141;1;Danut;709;
142;1;Alin;933;
143;1;Danut;739;
144;0;;;
145;0;;;
146;0;;;
147;0;;;
148;0;;;
149;1;Costel;937;
150;1;Luminita;910;
151;0;;;
152;0;;;
153;0;;;
154;0;;;
155;1;Elisabeta;517;
156;1;Mihai;521;
157;0;;;
158;0;;;
159;0;;;
160;1;Ruxandra;588;
161;0;;;
162;0;;;
163;0;;;
164;0;;;
165;1;Ruxandra;952;
166;1;Cornel;900;
167;0;;;
168;0;;;
169;0;;;
170;1;Costel;883;
171;1;Decebal;588;
172;1;Decebal;652;
173;0;;;
174;0;;;
175;0;;;
176;0;;;
177;1;Radu;926;
178;0;;;
179;1;Ruxandra;863;
180;1;Vali;568;
181;1;Decebal;941;
182;1;Luminita;1021;
183;0;;;
184;1;Decebal;887;
185;0;;;
186;0;;;
187;0;;;
188;1;Anca;552;
189;0;;;
190;0;;;
191;0;;;
192;0;;;
193;1;Vali;966;
194;0;;;
195;0;;;
196;0;;;
197;0;;;
198;0;;;
199;0;;;
200;0;;;
201;1;Ruxandra;697;
202;0;;;
203;0;;;
204;0;;;
205;0;;;
206;1;Sanda;680;
207;0;;;
208;1;Radu;590;
209;0;;;
210;0;;;
211;0;;;
212;0;;;
213;0;;;
214;0;;;
215;0;;;
216;1;Sanda;863;
217;0;;;
218;0;;;
219;0;;;
220;0;;;
221;1;Sanda;598;
222;0;;;
223;0;;;
224;0;;;
225;0;;;
226;0;;;
