taskId;performed;employeeName;startTime;
1;0;;;
2;1;Oksana;551;
3;0;;;
4;0;;;
5;0;;;
6;0;;;
7;1;Marko;938;
8;1;Pavlo;605;
9;0;;;
10;1;Taras;560;
11;1;Taras;621;
12;1;Luyudmyla;998;
13;0;;;
14;1;Andriy;583;
15;1;Klara;906;
16;0;;;
17;1;Klara;980;
18;1;Mikhailo;599;
19;0;;;
20;0;;;
21;1;Yuriy;581;
22;0;;;
23;1;Ivanna;885;
24;1;Volodymyr;583;
25;1;Marko;998;
26;1;Oksana;494;
27;1;Ivanna;1001;
28;1;Volodymyr;667;
29;1;Yuriy;963;
30;0;;;
31;1;Luba;535;
32;1;Volodymyr;868;
33;1;Oksana;960;
34;1;Mikhailo;536;
35;1;Pavlo;934;
36;0;;;
37;1;Oksana;888;
38;0;;;
39;0;;;
40;0;;;
41;1;Oxana;929;
42;0;;;
43;1;Luba;676;
44;1;Luyudmyla;599;
45;1;Bohdan;991;
46;1;Oxana;587;
47;1;Oxana;638;
48;0;;;
49;0;;;
50;1;Luba;896;
51;1;Luba;947;
52;0;;;
53;0;;;
54;0;;;
55;1;Andriy;645;
56;1;Mariya;952;
57;1;Petro;601;
58;1;Mikhailo;1019;
59;0;;;
60;1;Andriy;525;
61;0;;;
62;0;;;
63;0;;;
64;0;;;
65;0;;;
66;1;Mikhailo;646;
67;0;;;
68;1;Mariya;586;
69;0;;;
70;1;Petro;922;
71;0;;;
72;0;;;
73;0;;;
74;0;;;
75;1;Mariya;674;
76;0;;;
77;1;Hanna;698;
78;1;Hanna;864;
79;0;;;
80;1;Klara;652;
81;1;Hanna;606;
82;1;Mariya;893;
83;1;Andriy;889;
84;1;Mariya;1012;
85;0;;;
86;1;Petro;666;
87;1;Klara;567;
88;0;;;
89;0;;;
90;0;;;
91;1;Mikhailo;920;
92;1;Taras;676;
93;0;;;
94;1;Taras;875;
95;1;Pavlo;514;
96;1;Taras;936;
97;0;;;
98;0;;;
99;1;Yuriy;635;
100;1;Volodymyr;1026;
101;1;Yuriy;713;
102;0;;;
103;1;Yuriy;854;
104;0;;;
105;0;;;
106;1;Marko;604;
107;0;;;
108;1;Bohdan;625;
109;1;Bohdan;535;
110;1;Luyudmyla;908;
111;0;;;
112;0;;;
113;1;Luba;620;
114;0;;;
115;1;Hanna;993;
116;1;Oxana;852;
117;1;Oxana;712;
118;0;;;
119;0;;;
120;1;Oksana;689;
121;1;Pavlo;710;
122;1;Pavlo;859;
123;0;;;
124;0;;;
125;1;Andriy;1016;
126;0;;;
